ID_Talento,Talento,Tema,Categoria,Handle,Seguidores Insta,Valor por Story,Valor por Post,Stories contratados,Posts contratados,Valor Total Talentos,Comissão Papoon,Aprovado cliente?,Dados para contrato passados?,Contrato aprovado Talento?,Contrato assinado ?,Briefing passado para talento?,Post 1,Stories 1,Stories 2,Stories 3,Campanha entregue?,Report final gerado?,NF e boleto emitidos?,Pagamento realizado?
Talento 1,riocomerebeber,Happy Hour,,https://www.instagram.com/riocomerebeber/,"14.700","R$ 800,00","R$ 1.000,00",3,1,"R$ 3.400,00","R$ 850,00",,,,,,"postado dia 22.03.2025 link aqui",postado dia 22.03.2025,"postado 04.04.25 (lanche)","postado 11.04.25 (chopp)",,,,programado para 25 de abril
Talento 2,paulinharrn,Burger,Familia,https://www.instagram.com/paulinharrn/,"20.500","R$ 800,00","R$ 2.000,00",3,1,"R$ 4.400,00","R$ 1.100,00",,,,,,"postado dia 27.03.2025  link aqui",postado dia 29.03.2025,"postado 02.04 (cortes)","postado 10.04 (lanche)",,,,programado para 25 de abril
Talento 3,larissajaardim,,,https://www.instagram.com/larissajaardim/,"34.400","R$ 1.000,00","R$ 2.000,00",3,1,"R$ 5.000,00","R$ 1.250,00",,,,,,,,,,,,,
